study,country,take_vaccine,take_vaccine_num,age,educ,gender,cluster,weight,yes_vaccine_1,yes_vaccine_2,yes_vaccine_3,yes_vaccine_4,yes_vaccine_5,yes_vaccine_666,no_vaccine_1,no_vaccine_2,no_vaccine_3,no_vaccine_4,no_vaccine_5,no_vaccine_6,no_vaccine_7,no_vaccine_8,no_vaccine_9,no_vaccine_666,trust_vaccine_1,trust_vaccine_2,trust_vaccine_3,trust_vaccine_4,trust_vaccine_5,trust_vaccine_6,trust_vaccine_7,trust_vaccine_8,trust_vaccine_9,trust_vaccine_dk,trust_vaccine_refuse,trust_vaccine_nr,trust_vaccine_666,trust_vaccine_other
col_recovr,Colombia,No,0,NA,Less than secondary,Male,NA,1.1428571939468384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
col_recovr,Colombia,Yes,1,NA,Secondary,Female,NA,1.4800000190734863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,Yes,1,28,Secondary,Female,NA,1.5714285373687744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
col_recovr,Colombia,Yes,1,61,More than secondary,Male,NA,1.46875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,Yes,1,47,More than secondary,Male,NA,1.4722222089767456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
col_recovr,Colombia,Yes,1,25,More than secondary,Male,NA,1.4722222089767456,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,Yes,1,NA,Secondary,Female,NA,1.4554455280303955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,No,0,NA,More than secondary,Female,NA,1.4901961088180542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,NA,0,NA,More than secondary,Female,NA,1.4444444179534912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
col_recovr,Colombia,Yes,1,28,More than secondary,Female,NA,1.4800000190734863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
