group,ID,perspective_fed_indian,perspective_fed_german,vaccinated,party,migration_background,run1_exp8,cash,doses,run2_exp8,exp7_money2,exp7_doses2,vignr,round,exp7_money1,exp7_doses1,trading_importance,risk,deal,id,others_number,others_giving,others_average,risk_factor,trading_factor,others_number_norm,others_giving_norm,cash_billions,cash_billions_log,solidarity_behaviour,solidarity_attitude,treatment_video,c_0031_w1,c_0031_w2,c_0031_w3,c_0032_w1,c_0032_w2,vignette3,vignette4,vignette5,vignette6,vignette1,vignette2,vignette3_w4,vignette4_w4,conjoint_choice1_exp3,conjoint_rating1_exp3,conjoint_rating2_exp3,conjoint_choice2_exp3,conjoint_rating3_exp3,conjoint_rating4_exp3,conjoint_choice3_exp3,conjoint_rating5_exp3,conjoint_rating6_exp3,conjoint_choice1_exp7,conjoint_rating1_exp7,conjoint_rating2_exp7,conjoint_choice2_exp7,conjoint_rating3_exp7,conjoint_rating4_exp7
5,5274044143380,5,3,1,CDU.CSU,0,16,0.001,150,3,5e-4,130,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5274044143380,0,0,0,High,High,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274063815400,4,5,1,No party,0,20,0.002,130,17,0.0015,130,20,1,NA,NA,0.500332541567696,0.500332541567696,40 give 40 bn,5274063815400,4,4,1,High,High,1.598669833729216,1.5982897862232779,2,1.0986122886681098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274491035770,7,1,0,FDP,1,6,0.001,130,13,0.001,130,6,1,NA,NA,-0.49966745843230403,0.500332541567696,No deal,5274491035770,0,0,0,High,Low,-2.401330166270784,-2.401710213776722,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274491075325,4,7,1,SPD,1,7,1e-4,100,5,0,0,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5274491075325,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,0.1,0.09531017980432493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274592586640,6,2,1,SPD,0,16,5e-4,130,20,0.002,130,16,1,NA,NA,0.500332541567696,0.500332541567696,No deal,5274592586640,0,0,0,High,High,-2.401330166270784,-2.401710213776722,0.5,0.4054651081081644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5274705924900,5,6,0,SPD,0,4,0.01,10,18,0.001,50,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5274705924900,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275112102010,7,7,1,No party,0,4,1e-4,100,16,0.02,200,4,1,NA,NA,-0.49966745843230403,-0.49966745843230403,20 give 40 bn,5275112102010,2,4,2,Low,Low,-0.401330166270784,1.5982897862232779,0.1,0.09531017980432493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275755556380,4,4,1,Greens,1,19,0.02,50,1,0.015,20,19,1,NA,NA,0.500332541567696,0.500332541567696,20 give 40 bn,5275755556380,2,4,2,High,High,-0.401330166270784,1.5982897862232779,20,3.044522437723423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275766025270,6,6,1,SPD,1,10,0.01,70,13,0.01,70,10,1,NA,NA,-0.49966745843230403,0.500332541567696,40 give 40 bn,5275766025270,4,4,1,High,Low,1.598669833729216,1.5982897862232779,10,2.3978952727983707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5275779276195,7,1,1,FDP,1,7,0.001,40,12,0.05,20,7,1,NA,NA,-0.49966745843230403,0.500332541567696,20 give 20 bn,5275779276195,2,2,1,High,Low,-0.401330166270784,-0.4017102137767221,1,0.6931471805599453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
